,Lateral_ID (i),Customer_ID (k),Customer Anomaly Status x(i)(k),N(i),Lateral Anomaly Status x(i),Affected Customers s(i),~y(1)(ik),~y(2)(ik),~y(3)(ik),~y(4)(ik),~y(1)(i),~y(2)(i),~y(3)(i),~y(4)(i)
47,3,5,0,16,0,0,0,0,0,0,0,0,0,0
48,3,6,0,16,0,0,0,0,0,0,0,0,0,0
49,3,7,0,16,0,0,0,0,0,0,0,0,0,0
50,3,8,0,16,0,0,0,0,0,0,0,0,0,0
51,3,9,0,16,0,0,0,0,0,0,0,0,0,0
52,3,10,0,16,0,0,0,0,0,0,0,0,0,0
53,3,11,0,16,0,0,0,0,0,0,0,0,0,0
54,3,12,0,16,0,0,0,0,0,0,0,0,0,0
55,3,13,0,16,0,0,0,0,0,0,0,0,0,0
56,3,14,0,16,0,0,0,0,0,0,0,0,0,0
57,3,15,0,16,0,0,0,0,0,0,0,0,0,0
58,3,16,0,16,0,0,0,0,0,0,0,0,0,0
59,4,1,1,19,1,12,0,0,1,0,0,0,4,8
60,4,2,1,19,1,12,0,0,0,0,0,0,4,8
61,4,3,0,19,1,12,0,0,0,0,0,0,4,8
62,4,4,0,19,1,12,0,0,0,0,0,0,4,8
63,4,5,1,19,1,12,0,0,2,0,0,0,4,8
64,4,6,1,19,1,12,0,0,0,0,0,0,4,8
65,4,7,1,19,1,12,0,0,0,1,0,0,4,8
66,4,8,0,19,1,12,0,0,0,0,0,0,4,8
67,4,9,0,19,1,12,0,0,0,0,0,0,4,8
68,4,10,0,19,1,12,0,0,0,0,0,0,4,8
69,4,11,0,19,1,12,0,0,0,0,0,0,4,8
70,4,12,1,19,1,12,0,0,0,1,0,0,4,8
71,4,13,1,19,1,12,0,0,0,0,0,0,4,8
72,4,14,1,19,1,12,0,0,0,0,0,0,4,8
73,4,15,1,19,1,12,0,0,1,2,0,0,4,8
74,4,16,1,19,1,12,0,0,0,1,0,0,4,8
75,4,17,0,19,1,12,0,0,0,0,0,0,4,8
76,4,18,1,19,1,12,0,0,0,3,0,0,4,8
77,4,19,1,19,1,12,0,0,0,0,0,0,4,8
78,5,1,0,8,0,0,0,0,0,0,0,0,0,0
79,5,2,0,8,0,0,0,0,0,0,0,0,0,0
80,5,3,0,8,0,0,0,0,0,0,0,0,0,0
81,5,4,0,8,0,0,0,0,0,0,0,0,0,0
82,5,5,0,8,0,0,0,0,0,0,0,0,0,0
83,5,6,0,8,0,0,0,0,0,0,0,0,0,0
84,5,7,0,8,0,0,0,0,0,0,0,0,0,0
85,5,8,0,8,0,0,0,0,0,0,0,0,0,0
86,6,1,0,19,0,0,0,0,0,0,0,0,0,0
87,6,2,0,19,0,0,0,0,0,0,0,0,0,0
88,6,3,0,19,0,0,0,0,0,0,0,0,0,0
89,6,4,0,19,0,0,0,0,0,0,0,0,0,0
90,6,5,0,19,0,0,0,0,0,0,0,0,0,0
91,6,6,0,19,0,0,0,0,0,0,0,0,0,0
92,6,7,0,19,0,0,0,0,0,0,0,0,0,0
93,6,8,0,19,0,0,0,0,0,0,0,0,0,0
94,6,9,0,19,0,0,0,0,0,0,0,0,0,0
95,6,10,0,19,0,0,0,0,0,0,0,0,0,0
96,6,11,0,19,0,0,0,0,0,0,0,0,0,0
97,6,12,0,19,0,0,0,0,0,0,0,0,0,0
98,6,13,0,19,0,0,0,0,0,0,0,0,0,0
99,6,14,0,19,0,0,0,0,0,0,0,0,0,0
100,6,15,0,19,0,0,0,0,0,0,0,0,0,0
101,6,16,0,19,0,0,0,0,0,0,0,0,0,0
102,6,17,0,19,0,0,0,0,0,0,0,0,0,0
103,6,18,0,19,0,0,0,0,0,0,0,0,0,0
104,6,19,0,19,0,0,0,0,0,0,0,0,0,0
105,7,1,1,29,1,15,0,0,0,1,0,0,3,8
106,7,2,1,29,1,15,0,0,1,0,0,0,3,8
107,7,3,1,29,1,15,0,0,0,0,0,0,3,8
108,7,4,1,29,1,15,0,0,0,1,0,0,3,8
109,7,5,0,29,1,15,0,0,0,0,0,0,3,8
110,7,6,0,29,1,15,0,0,0,0,0,0,3,8
111,7,7,0,29,1,15,0,0,0,0,0,0,3,8
112,7,8,1,29,1,15,0,0,0,0,0,0,3,8
113,7,9,0,29,1,15,0,0,0,0,0,0,3,8
114,7,10,0,29,1,15,0,0,0,0,0,0,3,8
115,7,11,1,29,1,15,0,0,0,0,0,0,3,8
116,7,12,0,29,1,15,0,0,0,0,0,0,3,8
117,7,13,0,29,1,15,0,0,0,0,0,0,3,8
118,7,14,0,29,1,15,0,0,0,0,0,0,3,8
119,7,15,0,29,1,15,0,0,0,0,0,0,3,8
120,7,16,1,29,1,15,0,0,1,1,0,0,3,8
121,7,17,0,29,1,15,0,0,0,0,0,0,3,8
122,7,18,1,29,1,15,0,0,0,0,0,0,3,8
123,7,19,0,29,1,15,0,0,0,0,0,0,3,8
124,7,20,1,29,1,15,0,0,0,0,0,0,3,8
125,7,21,0,29,1,15,0,0,0,0,0,0,3,8
126,7,22,1,29,1,15,0,0,1,1,0,0,3,8
127,7,23,1,29,1,15,0,0,0,1,0,0,3,8
128,7,24,1,29,1,15,0,0,0,2,0,0,3,8
129,7,25,0,29,1,15,0,0,0,0,0,0,3,8
130,7,26,1,29,1,15,0,0,0,0,0,0,3,8
131,7,27,1,29,1,15,0,0,0,1,0,0,3,8
132,7,28,0,29,1,15,0,0,0,0,0,0,3,8
133,7,29,1,29,1,15,0,0,0,0,0,0,3,8
134,8,1,0,33,1,17,0,0,0,0,0,0,2,11
135,8,2,1,33,1,17,0,0,0,0,0,0,2,11
136,8,3,0,33,1,17,0,0,0,0,0,0,2,11
137,8,4,1,33,1,17,0,0,0,1,0,0,2,11
138,8,5,0,33,1,17,0,0,0,0,0,0,2,11
139,8,6,0,33,1,17,0,0,0,0,0,0,2,11
140,8,7,0,33,1,17,0,0,0,0,0,0,2,11
141,8,8,1,33,1,17,0,0,0,0,0,0,2,11
142,8,9,1,33,1,17,0,0,0,2,0,0,2,11
143,8,10,0,33,1,17,0,0,0,0,0,0,2,11
144,8,11,1,33,1,17,0,0,0,1,0,0,2,11
145,8,12,1,33,1,17,0,0,0,0,0,0,2,11
146,8,13,0,33,1,17,0,0,0,0,0,0,2,11
147,8,14,0,33,1,17,0,0,0,0,0,0,2,11
148,8,15,1,33,1,17,0,0,0,0,0,0,2,11
149,8,16,0,33,1,17,0,0,0,0,0,0,2,11
150,8,17,1,33,1,17,0,0,0,0,0,0,2,11
151,8,18,1,33,1,17,0,0,0,1,0,0,2,11
152,8,19,0,33,1,17,0,0,0,0,0,0,2,11
153,8,20,0,33,1,17,0,0,0,0,0,0,2,11
154,8,21,1,33,1,17,0,0,0,1,0,0,2,11
155,8,22,0,33,1,17,0,0,0,0,0,0,2,11
156,8,23,1,33,1,17,0,0,0,1,0,0,2,11
157,8,24,0,33,1,17,0,0,0,0,0,0,2,11
158,8,25,1,33,1,17,0,0,0,1,0,0,2,11
159,8,26,0,33,1,17,0,0,0,0,0,0,2,11
160,8,27,1,33,1,17,0,0,0,0,0,0,2,11
161,8,28,0,33,1,17,0,0,0,0,0,0,2,11
162,8,29,1,33,1,17,0,0,1,1,0,0,2,11
163,8,30,1,33,1,17,0,0,0,0,0,0,2,11
164,8,31,1,33,1,17,0,0,0,2,0,0,2,11
165,8,32,1,33,1,17,0,0,1,0,0,0,2,11
166,8,33,0,33,1,17,0,0,0,0,0,0,2,11
167,9,1,0,13,0,0,0,0,0,0,0,0,0,0
168,9,2,0,13,0,0,0,0,0,0,0,0,0,0
169,9,3,0,13,0,0,0,0,0,0,0,0,0,0
170,9,4,0,13,0,0,0,0,0,0,0,0,0,0
171,9,5,0,13,0,0,0,0,0,0,0,0,0,0
172,9,6,0,13,0,0,0,0,0,0,0,0,0,0
173,9,7,0,13,0,0,0,0,0,0,0,0,0,0
174,9,8,0,13,0,0,0,0,0,0,0,0,0,0
175,9,9,0,13,0,0,0,0,0,0,0,0,0,0
176,9,10,0,13,0,0,0,0,0,0,0,0,0,0
177,9,11,0,13,0,0,0,0,0,0,0,0,0,0
178,9,12,0,13,0,0,0,0,0,0,0,0,0,0
179,9,13,0,13,0,0,0,0,0,0,0,0,0,0
180,10,1,0,38,0,0,0,0,0,0,0,0,0,0
181,10,2,0,38,0,0,0,0,0,0,0,0,0,0
182,10,3,0,38,0,0,0,0,0,0,0,0,0,0
183,10,4,0,38,0,0,0,0,0,0,0,0,0,0
184,10,5,0,38,0,0,0,0,0,0,0,0,0,0
185,10,6,0,38,0,0,0,0,0,0,0,0,0,0
186,10,7,0,38,0,0,0,0,0,0,0,0,0,0
187,10,8,0,38,0,0,0,0,0,0,0,0,0,0
188,10,9,0,38,0,0,0,0,0,0,0,0,0,0
189,10,10,0,38,0,0,0,0,0,0,0,0,0,0
190,10,11,0,38,0,0,0,0,0,0,0,0,0,0
191,10,12,0,38,0,0,0,0,0,0,0,0,0,0
192,10,13,0,38,0,0,0,0,0,0,0,0,0,0
193,10,14,0,38,0,0,0,0,0,0,0,0,0,0
194,10,15,0,38,0,0,0,0,0,0,0,0,0,0
195,10,16,0,38,0,0,0,0,0,0,0,0,0,0
196,10,17,0,38,0,0,0,0,0,0,0,0,0,0
197,10,18,0,38,0,0,0,0,0,0,0,0,0,0
198,10,19,0,38,0,0,0,0,0,0,0,0,0,0
199,10,20,0,38,0,0,0,0,0,0,0,0,0,0
200,10,21,0,38,0,0,0,0,0,0,0,0,0,0
201,10,22,0,38,0,0,0,0,0,0,0,0,0,0
202,10,23,0,38,0,0,0,0,0,0,0,0,0,0
203,10,24,0,38,0,0,0,0,0,0,0,0,0,0
204,10,25,0,38,0,0,0,0,0,0,0,0,0,0
205,10,26,0,38,0,0,0,0,0,0,0,0,0,0
206,10,27,0,38,0,0,0,0,0,0,0,0,0,0
207,10,28,0,38,0,0,0,0,0,0,0,0,0,0
208,10,29,0,38,0,0,0,0,0,0,0,0,0,0
209,10,30,0,38,0,0,0,0,0,0,0,0,0,0
210,10,31,0,38,0,0,0,0,0,0,0,0,0,0
211,10,32,0,38,0,0,0,0,0,0,0,0,0,0
212,10,33,0,38,0,0,0,0,0,0,0,0,0,0
213,10,34,0,38,0,0,0,0,0,0,0,0,0,0
214,10,35,0,38,0,0,0,0,0,0,0,0,0,0
215,10,36,0,38,0,0,0,0,0,0,0,0,0,0
216,10,37,0,38,0,0,0,0,0,0,0,0,0,0
217,10,38,0,38,0,0,0,0,0,0,0,0,0,0
218,11,1,0,12,0,0,0,0,0,0,0,0,0,0
219,11,2,0,12,0,0,0,0,0,0,0,0,0,0
220,11,3,0,12,0,0,0,0,0,0,0,0,0,0
221,11,4,0,12,0,0,0,0,0,0,0,0,0,0
222,11,5,0,12,0,0,0,0,0,0,0,0,0,0
223,11,6,0,12,0,0,0,0,0,0,0,0,0,0
224,11,7,0,12,0,0,0,0,0,0,0,0,0,0
225,11,8,0,12,0,0,0,0,0,0,0,0,0,0
226,11,9,0,12,0,0,0,0,0,0,0,0,0,0
227,11,10,0,12,0,0,0,0,0,0,0,0,0,0
228,11,11,0,12,0,0,0,0,0,0,0,0,0,0
229,11,12,0,12,0,0,0,0,0,0,0,0,0,0
230,13,1,0,25,0,0,0,0,0,0,0,0,0,0
231,13,2,0,25,0,0,0,0,0,0,0,0,0,0
232,13,3,0,25,0,0,0,0,0,0,0,0,0,0
233,13,4,0,25,0,0,0,0,0,0,0,0,0,0
234,13,5,0,25,0,0,0,0,0,0,0,0,0,0
235,13,6,0,25,0,0,0,0,0,0,0,0,0,0
236,13,7,0,25,0,0,0,0,0,0,0,0,0,0
237,13,8,0,25,0,0,0,0,0,0,0,0,0,0
238,13,9,0,25,0,0,0,0,0,0,0,0,0,0
239,13,10,0,25,0,0,0,0,0,0,0,0,0,0
240,13,11,0,25,0,0,0,0,0,0,0,0,0,0
241,13,12,0,25,0,0,0,0,0,0,0,0,0,0
242,13,13,0,25,0,0,0,0,0,0,0,0,0,0
243,13,14,0,25,0,0,0,0,0,0,0,0,0,0
244,13,15,0,25,0,0,0,0,0,0,0,0,0,0
245,13,16,0,25,0,0,0,0,0,0,0,0,0,0
246,13,17,0,25,0,0,0,0,0,0,0,0,0,0
247,13,18,0,25,0,0,0,0,0,0,0,0,0,0
248,13,19,0,25,0,0,0,0,0,0,0,0,0,0
249,13,20,0,25,0,0,0,0,0,0,0,0,0,0
250,13,21,0,25,0,0,0,0,0,0,0,0,0,0
251,13,22,0,25,0,0,0,0,0,0,0,0,0,0
252,13,23,0,25,0,0,0,0,0,0,0,0,0,0
253,13,24,0,25,0,0,0,0,0,0,0,0,0,0
254,13,25,0,25,0,0,0,0,0,0,0,0,0,0
255,14,1,0,17,1,3,0,0,0,0,0,0,0,2
256,14,2,0,17,1,3,0,0,0,0,0,0,0,2
257,14,3,0,17,1,3,0,0,0,0,0,0,0,2
258,14,4,0,17,1,3,0,0,0,0,0,0,0,2
259,14,5,0,17,1,3,0,0,0,0,0,0,0,2
260,14,6,0,17,1,3,0,0,0,0,0,0,0,2
261,14,7,1,17,1,3,0,0,0,0,0,0,0,2
262,14,8,0,17,1,3,0,0,0,0,0,0,0,2
263,14,9,0,17,1,3,0,0,0,0,0,0,0,2
264,14,10,0,17,1,3,0,0,0,0,0,0,0,2
265,14,11,0,17,1,3,0,0,0,0,0,0,0,2
266,14,12,0,17,1,3,0,0,0,0,0,0,0,2
267,14,13,0,17,1,3,0,0,0,0,0,0,0,2
268,14,14,0,17,1,3,0,0,0,0,0,0,0,2
269,14,15,1,17,1,3,0,0,0,1,0,0,0,2
270,14,16,0,17,1,3,0,0,0,0,0,0,0,2
271,14,17,1,17,1,3,0,0,0,1,0,0,0,2
272,16,1,0,15,0,0,0,0,0,0,0,0,0,0
273,16,2,0,15,0,0,0,0,0,0,0,0,0,0
274,16,3,0,15,0,0,0,0,0,0,0,0,0,0
275,16,4,0,15,0,0,0,0,0,0,0,0,0,0
276,16,5,0,15,0,0,0,0,0,0,0,0,0,0
277,16,6,0,15,0,0,0,0,0,0,0,0,0,0
278,16,7,0,15,0,0,0,0,0,0,0,0,0,0
279,16,8,0,15,0,0,0,0,0,0,0,0,0,0
280,16,9,0,15,0,0,0,0,0,0,0,0,0,0
281,16,10,0,15,0,0,0,0,0,0,0,0,0,0
282,16,11,0,15,0,0,0,0,0,0,0,0,0,0
283,16,12,0,15,0,0,0,0,0,0,0,0,0,0
284,16,13,0,15,0,0,0,0,0,0,0,0,0,0
285,16,14,0,15,0,0,0,0,0,0,0,0,0,0
286,16,15,0,15,0,0,0,0,0,0,0,0,0,0
287,17,1,0,44,2,28,0,0,0,0,0,11,0,57
288,17,2,0,44,2,28,0,0,0,0,0,11,0,57
289,17,3,2,44,2,28,0,0,0,2,0,11,0,57
290,17,4,0,44,2,28,0,0,0,0,0,11,0,57
291,17,5,2,44,2,28,0,2,0,1,0,11,0,57
292,17,6,2,44,2,28,0,1,0,5,0,11,0,57
293,17,7,0,44,2,28,0,0,0,0,0,11,0,57
294,17,8,2,44,2,28,0,1,0,2,0,11,0,57
295,17,9,2,44,2,28,0,0,0,4,0,11,0,57
296,17,10,0,44,2,28,0,0,0,0,0,11,0,57
297,17,11,2,44,2,28,0,0,0,0,0,11,0,57
298,17,12,2,44,2,28,0,1,0,3,0,11,0,57
299,17,13,2,44,2,28,0,1,0,1,0,11,0,57
300,17,14,2,44,2,28,0,0,0,1,0,11,0,57
301,17,15,0,44,2,28,0,0,0,0,0,11,0,57
302,17,16,0,44,2,28,0,0,0,0,0,11,0,57
303,17,17,2,44,2,28,0,0,0,2,0,11,0,57
304,17,18,2,44,2,28,0,0,0,0,0,11,0,57
305,17,19,2,44,2,28,0,0,0,2,0,11,0,57
306,17,20,2,44,2,28,0,0,0,1,0,11,0,57
307,17,21,2,44,2,28,0,0,0,2,0,11,0,57
308,17,22,2,44,2,28,0,0,0,4,0,11,0,57
309,17,23,2,44,2,28,0,0,0,2,0,11,0,57
310,17,24,2,44,2,28,0,0,0,0,0,11,0,57
311,17,25,0,44,2,28,0,0,0,0,0,11,0,57
312,17,26,0,44,2,28,0,0,0,0,0,11,0,57
313,17,27,0,44,2,28,0,0,0,0,0,11,0,57
314,17,28,0,44,2,28,0,0,0,0,0,11,0,57
315,17,29,2,44,2,28,0,1,0,5,0,11,0,57
316,17,30,2,44,2,28,0,0,0,3,0,11,0,57
317,17,31,2,44,2,28,0,0,0,2,0,11,0,57
318,17,32,2,44,2,28,0,0,0,0,0,11,0,57
319,17,33,2,44,2,28,0,1,0,4,0,11,0,57
320,17,34,2,44,2,28,0,0,0,2,0,11,0,57
321,17,35,2,44,2,28,0,0,0,4,0,11,0,57
322,17,36,2,44,2,28,0,1,0,2,0,11,0,57
323,17,37,0,44,2,28,0,0,0,0,0,11,0,57
324,17,38,0,44,2,28,0,0,0,0,0,11,0,57
325,17,39,2,44,2,28,0,1,0,2,0,11,0,57
326,17,40,0,44,2,28,0,0,0,0,0,11,0,57
327,17,41,2,44,2,28,0,1,0,0,0,11,0,57
328,17,42,0,44,2,28,0,0,0,0,0,11,0,57
329,17,43,0,44,2,28,0,0,0,0,0,11,0,57
330,17,44,2,44,2,28,0,0,0,1,0,11,0,57
331,18,1,0,47,0,0,0,0,0,0,0,0,0,0
332,18,2,0,47,0,0,0,0,0,0,0,0,0,0
333,18,3,0,47,0,0,0,0,0,0,0,0,0,0
334,18,4,0,47,0,0,0,0,0,0,0,0,0,0
335,18,5,0,47,0,0,0,0,0,0,0,0,0,0
336,18,6,0,47,0,0,0,0,0,0,0,0,0,0
337,18,7,0,47,0,0,0,0,0,0,0,0,0,0
338,18,8,0,47,0,0,0,0,0,0,0,0,0,0
339,18,9,0,47,0,0,0,0,0,0,0,0,0,0
340,18,10,0,47,0,0,0,0,0,0,0,0,0,0
341,18,11,0,47,0,0,0,0,0,0,0,0,0,0
342,18,12,0,47,0,0,0,0,0,0,0,0,0,0
343,18,13,0,47,0,0,0,0,0,0,0,0,0,0
344,18,14,0,47,0,0,0,0,0,0,0,0,0,0
345,18,15,0,47,0,0,0,0,0,0,0,0,0,0
346,18,16,0,47,0,0,0,0,0,0,0,0,0,0
347,18,17,0,47,0,0,0,0,0,0,0,0,0,0
348,18,18,0,47,0,0,0,0,0,0,0,0,0,0
349,18,19,0,47,0,0,0,0,0,0,0,0,0,0
350,18,20,0,47,0,0,0,0,0,0,0,0,0,0
351,18,21,0,47,0,0,0,0,0,0,0,0,0,0
352,18,22,0,47,0,0,0,0,0,0,0,0,0,0
353,18,23,0,47,0,0,0,0,0,0,0,0,0,0
354,18,24,0,47,0,0,0,0,0,0,0,0,0,0
355,18,25,0,47,0,0,0,0,0,0,0,0,0,0
356,18,26,0,47,0,0,0,0,0,0,0,0,0,0
357,18,27,0,47,0,0,0,0,0,0,0,0,0,0
358,18,28,0,47,0,0,0,0,0,0,0,0,0,0
359,18,29,0,47,0,0,0,0,0,0,0,0,0,0
360,18,30,0,47,0,0,0,0,0,0,0,0,0,0
361,18,31,0,47,0,0,0,0,0,0,0,0,0,0
362,18,32,0,47,0,0,0,0,0,0,0,0,0,0
363,18,33,0,47,0,0,0,0,0,0,0,0,0,0
364,18,34,0,47,0,0,0,0,0,0,0,0,0,0
365,18,35,0,47,0,0,0,0,0,0,0,0,0,0
366,18,36,0,47,0,0,0,0,0,0,0,0,0,0
367,18,37,0,47,0,0,0,0,0,0,0,0,0,0
368,18,38,0,47,0,0,0,0,0,0,0,0,0,0
369,18,39,0,47,0,0,0,0,0,0,0,0,0,0
370,18,40,0,47,0,0,0,0,0,0,0,0,0,0
371,18,41,0,47,0,0,0,0,0,0,0,0,0,0
372,18,42,0,47,0,0,0,0,0,0,0,0,0,0
373,18,43,0,47,0,0,0,0,0,0,0,0,0,0
374,18,44,0,47,0,0,0,0,0,0,0,0,0,0
375,18,45,0,47,0,0,0,0,0,0,0,0,0,0
376,18,46,0,47,0,0,0,0,0,0,0,0,0,0
377,18,47,0,47,0,0,0,0,0,0,0,0,0,0
378,19,1,1,39,1,18,0,0,0,0,0,0,4,5
379,19,2,0,39,1,18,0,0,0,0,0,0,4,5
380,19,3,1,39,1,18,0,0,0,0,0,0,4,5
381,19,4,1,39,1,18,0,0,0,0,0,0,4,5
382,19,5,0,39,1,18,0,0,0,0,0,0,4,5
383,19,6,0,39,1,18,0,0,0,0,0,0,4,5
384,19,7,0,39,1,18,0,0,0,0,0,0,4,5
385,19,8,0,39,1,18,0,0,0,0,0,0,4,5
386,19,9,0,39,1,18,0,0,0,0,0,0,4,5
387,19,10,1,39,1,18,0,0,1,2,0,0,4,5
388,19,11,0,39,1,18,0,0,0,0,0,0,4,5
389,19,12,1,39,1,18,0,0,0,0,0,0,4,5
390,19,13,1,39,1,18,0,0,0,0,0,0,4,5
391,19,14,0,39,1,18,0,0,0,0,0,0,4,5
392,19,15,1,39,1,18,0,0,0,0,0,0,4,5
393,19,16,1,39,1,18,0,0,0,1,0,0,4,5
394,19,17,1,39,1,18,0,0,1,0,0,0,4,5
395,19,18,0,39,1,18,0,0,0,0,0,0,4,5
396,19,19,1,39,1,18,0,0,0,0,0,0,4,5
397,19,20,1,39,1,18,0,0,0,0,0,0,4,5
398,19,21,0,39,1,18,0,0,0,0,0,0,4,5
399,19,22,1,39,1,18,0,0,0,1,0,0,4,5
400,19,23,1,39,1,18,0,0,0,0,0,0,4,5
401,19,24,1,39,1,18,0,0,0,0,0,0,4,5
402,19,25,0,39,1,18,0,0,0,0,0,0,4,5
403,19,26,0,39,1,18,0,0,0,0,0,0,4,5
404,19,27,0,39,1,18,0,0,0,0,0,0,4,5
405,19,28,1,39,1,18,0,0,1,0,0,0,4,5
406,19,29,0,39,1,18,0,0,0,0,0,0,4,5
407,19,30,1,39,1,18,0,0,1,0,0,0,4,5
408,19,31,0,39,1,18,0,0,0,0,0,0,4,5
409,19,32,0,39,1,18,0,0,0,0,0,0,4,5
410,19,33,0,39,1,18,0,0,0,0,0,0,4,5
411,19,34,0,39,1,18,0,0,0,0,0,0,4,5
412,19,35,0,39,1,18,0,0,0,0,0,0,4,5
413,19,36,1,39,1,18,0,0,0,0,0,0,4,5
414,19,37,1,39,1,18,0,0,0,1,0,0,4,5
415,19,38,0,39,1,18,0,0,0,0,0,0,4,5
416,19,39,0,39,1,18,0,0,0,0,0,0,4,5
417,20,1,0,39,0,0,0,0,0,0,0,0,0,0
418,20,2,0,39,0,0,0,0,0,0,0,0,0,0
419,20,3,0,39,0,0,0,0,0,0,0,0,0,0
420,20,4,0,39,0,0,0,0,0,0,0,0,0,0
421,20,5,0,39,0,0,0,0,0,0,0,0,0,0
422,20,6,0,39,0,0,0,0,0,0,0,0,0,0
423,20,7,0,39,0,0,0,0,0,0,0,0,0,0
424,20,8,0,39,0,0,0,0,0,0,0,0,0,0
425,20,9,0,39,0,0,0,0,0,0,0,0,0,0
426,20,10,0,39,0,0,0,0,0,0,0,0,0,0
427,20,11,0,39,0,0,0,0,0,0,0,0,0,0
428,20,12,0,39,0,0,0,0,0,0,0,0,0,0
429,20,13,0,39,0,0,0,0,0,0,0,0,0,0
430,20,14,0,39,0,0,0,0,0,0,0,0,0,0
431,20,15,0,39,0,0,0,0,0,0,0,0,0,0
432,20,16,0,39,0,0,0,0,0,0,0,0,0,0
433,20,17,0,39,0,0,0,0,0,0,0,0,0,0
434,20,18,0,39,0,0,0,0,0,0,0,0,0,0
435,20,19,0,39,0,0,0,0,0,0,0,0,0,0
436,20,20,0,39,0,0,0,0,0,0,0,0,0,0
437,20,21,0,39,0,0,0,0,0,0,0,0,0,0
438,20,22,0,39,0,0,0,0,0,0,0,0,0,0
439,20,23,0,39,0,0,0,0,0,0,0,0,0,0
440,20,24,0,39,0,0,0,0,0,0,0,0,0,0
441,20,25,0,39,0,0,0,0,0,0,0,0,0,0
442,20,26,0,39,0,0,0,0,0,0,0,0,0,0
443,20,27,0,39,0,0,0,0,0,0,0,0,0,0
444,20,28,0,39,0,0,0,0,0,0,0,0,0,0
445,20,29,0,39,0,0,0,0,0,0,0,0,0,0
446,20,30,0,39,0,0,0,0,0,0,0,0,0,0
447,20,31,0,39,0,0,0,0,0,0,0,0,0,0
448,20,32,0,39,0,0,0,0,0,0,0,0,0,0
449,20,33,0,39,0,0,0,0,0,0,0,0,0,0
450,20,34,0,39,0,0,0,0,0,0,0,0,0,0
451,20,35,0,39,0,0,0,0,0,0,0,0,0,0
452,20,36,0,39,0,0,0,0,0,0,0,0,0,0
453,20,37,0,39,0,0,0,0,0,0,0,0,0,0
454,20,38,0,39,0,0,0,0,0,0,0,0,0,0
455,20,39,0,39,0,0,0,0,0,0,0,0,0,0
456,21,1,0,18,2,10,0,0,0,0,0,6,11,16
